Gamma,Coef0,Degree,Acc,Acc-max,Acc-min
10,10,1,56.99,66.27,47.71
10,1,1,58.24,68.55,47.93
10,2,1,53.24,61.07,45.41
10,3,1,53.20,63.84,42.56
10,4,1,55.37,62.09,48.65
10,5,1,53.39,60.67,46.11
10,6,1,54.64,60.56,48.72
10,7,1,54.81,62.3,47.32
10,8,1,53.09,60.37,45.81
10,9,1,51.56,52.4,50.72
1,10,1,49.64,52.38,46.9
1,1,1,51.74,54.56,48.92
1,2,1,50.52,51.2,49.84
1,3,1,52.81,61.2,44.42
1,4,1,53.40,59.31,47.49
1,5,1,51.59,54.27,48.91
1,6,1,52.65,56.04,49.26
1,7,1,53.61,57.75,49.47
1,8,1,52.69,57.06,48.32
1,9,1,58.86,69.55,48.17
2,10,1,53.49,59.99,46.99
2,1,1,54.37,59.86,48.88
2,2,1,53.07,57.64,48.5
2,3,1,51.86,54.46,49.26
2,4,1,55.83,63.85,47.81
2,5,1,55.41,63.28,47.54
2,6,1,53.14,57.31,48.97
2,7,1,56.37,61.3,51.44
2,8,1,56.00,71.38,40.62
2,9,1,55.51,70.89,40.13
3,10,1,55.81,63.27,48.35
3,1,1,54.40,59.14,49.66
3,2,1,57.58,64.29,50.87
3,3,1,60.32,73.64,47.0
3,4,1,52.31,58.8,45.82
3,5,1,53.35,63.48,43.22
3,6,1,51.55,60.24,42.86
3,7,1,61.83,71.36,52.3
3,8,1,57.26,67.45,47.07
3,9,1,53.45,66.29,40.61
4,10,1,48.39,57.64,39.14
4,1,1,51.55,56.87,46.23
4,2,1,53.51,58.27,48.75
4,3,1,50.32,52.25,48.39
4,4,1,54.19,59.48,48.9
4,5,1,55.22,61.27,49.17
4,6,1,50.99,53.45,48.53
4,7,1,52.67,57.86,47.48
4,8,1,54.70,61.83,47.57
4,9,1,51.94,54.19,49.69
5,10,1,56.71,65.27,48.15
5,1,1,51.90,52.99,50.81
5,2,1,54.92,61.92,47.92
5,3,1,51.05,58.23,43.87
5,4,1,54.18,60.96,47.4
5,5,1,51.73,55.47,47.99
5,6,1,51.88,58.13,45.63
5,7,1,54.25,59.17,49.33
5,8,1,54.04,58.12,49.96
5,9,1,54.32,61.78,46.86
6,10,1,52.35,55.33,49.37
6,1,1,52.20,54.79,49.61
6,2,1,56.27,65.44,47.1
6,3,1,57.61,64.37,50.85
6,4,1,55.57,71.66,39.48
6,5,1,51.80,54.22,49.38
6,6,1,53.56,58.66,48.46
6,7,1,51.86,56.63,47.09
6,8,1,52.97,59.23,46.71
6,9,1,55.39,64.39,46.39
7,10,1,54.18,59.97,48.39
7,1,1,56.71,61.95,51.47
7,2,1,59.05,70.68,47.42
7,3,1,53.20,56.28,50.12
7,4,1,56.68,65.56,47.8
7,5,1,54.76,60.05,49.47
7,6,1,51.59,52.71,50.47
7,7,1,53.47,57.21,49.73
7,8,1,55.96,63.4,48.52
7,9,1,51.47,59.98,42.96
8,10,1,62.61,72.61,52.61
8,1,1,56.56,63.06,50.06
8,2,1,51.46,57.04,45.88
8,3,1,52.38,61.32,43.44
8,4,1,60.49,69.7,51.28
8,5,1,58.99,68.32,49.66
8,6,1,58.10,67.39,48.81
8,7,1,53.38,61.18,45.58
8,8,1,50.53,52.96,48.1
8,9,1,45.89,55.44,36.34
9,10,1,56.97,68.89,45.05
9,1,1,54.30,62.22,46.38
9,2,1,53.05,59.93,46.17
9,3,1,56.89,64.34,49.44
9,4,1,52.10,53.31,50.89
9,5,1,56.04,66.1,45.98
9,6,1,54.23,59.28,49.18
9,7,1,51.05,56.82,45.28
9,8,1,52.22,58.21,46.23
9,9,1,55.77,61.18,50.36
10,10,2,66.33,79.9,52.76
10,1,2,63.92,74.96,52.88
10,2,2,61.40,70.73,52.07
10,3,2,58.20,76.04,40.36
10,4,2,59.00,64.29,53.71
10,5,2,62.52,66.85,58.19
10,6,2,57.47,71.21,43.73
10,7,2,58.45,76.1,40.8
10,8,2,57.95,69.21,46.69
10,9,2,59.94,68.07,51.81
1,10,2,59.42,73.84,45.0
1,1,2,57.96,70.44,45.48
1,2,2,59.11,68.32,49.9
1,3,2,56.11,67.59,44.63
1,4,2,55.40,65.85,44.95
1,5,2,68.48,75.9,61.06
1,6,2,60.13,74.5,45.76
1,7,2,54.37,70.2,38.54
1,8,2,64.31,68.15,60.47
1,9,2,64.60,76.03,53.17
2,10,2,66.22,77.27,55.17
2,1,2,68.52,78.02,59.02
2,2,2,68.02,76.16,59.88
2,3,2,65.20,67.51,62.89
2,4,2,65.88,79.31,52.45
2,5,2,62.47,75.13,49.81
2,6,2,63.48,78.03,48.93
2,7,2,65.94,69.39,62.49
2,8,2,63.28,75.89,50.67
2,9,2,55.75,66.09,45.41
3,10,2,63.46,75.89,51.03
3,1,2,62.66,68.57,56.75
3,2,2,61.27,65.73,56.81
3,3,2,58.18,67.85,48.51
3,4,2,59.90,71.28,48.52
3,5,2,61.83,71.83,51.83
3,6,2,68.29,85.47,51.11
3,7,2,60.61,76.78,44.44
3,8,2,62.96,71.29,54.63
3,9,2,63.00,74.25,51.75
4,10,2,58.17,75.02,41.32
4,1,2,62.65,76.45,48.85
4,2,2,60.13,72.28,47.98
4,3,2,63.30,79.23,47.37
4,4,2,56.81,73.69,39.93
4,5,2,58.29,68.11,48.47
4,6,2,58.55,72.63,44.47
4,7,2,52.95,71.12,34.78
4,8,2,65.04,78.73,51.35
