Gamma,Coef0,Degree,Recall,Precision,F1-score
10,10,1,0.591,0.549,0.569
10,1,1,0.618,0.56,0.587
10,2,1,0.567,0.504,0.53
10,3,1,0.547,0.498,0.522
10,4,1,0.582,0.522,0.547
10,5,1,0.556,0.511,0.533
10,6,1,0.552,0.518,0.527
10,7,1,0.564,0.523,0.54
10,8,1,0.546,0.508,0.526
10,9,1,0.521,0.498,0.51
1,10,1,0.481,0.477,0.479
1,1,1,0.529,0.498,0.512
1,2,1,0.527,0.488,0.506
1,3,1,0.536,0.502,0.515
1,4,1,0.569,0.511,0.538
1,5,1,0.532,0.497,0.514
1,6,1,0.558,0.506,0.53
1,7,1,0.57,0.516,0.542
1,8,1,0.552,0.504,0.528
1,9,1,0.627,0.558,0.588
2,10,1,0.554,0.511,0.531
2,1,1,0.572,0.522,0.544
2,2,1,0.558,0.508,0.532
2,3,1,0.534,0.501,0.515
2,4,1,0.592,0.532,0.558
2,5,1,0.597,0.528,0.558
2,6,1,0.565,0.51,0.537
2,7,1,0.603,0.543,0.571
2,8,1,0.64,0.526,0.576
2,9,1,0.571,0.509,0.536
3,10,1,0.59,0.533,0.559
3,1,1,0.577,0.522,0.547
3,2,1,0.639,0.547,0.588
3,3,1,0.619,0.57,0.592
3,4,1,0.52,0.498,0.508
3,5,1,0.54,0.511,0.52
3,6,1,0.494,0.483,0.488
3,7,1,0.68,0.584,0.627
3,8,1,0.602,0.541,0.569
3,9,1,0.55,0.497,0.518
4,10,1,0.485,0.452,0.467
4,1,1,0.537,0.493,0.515
4,2,1,0.567,0.515,0.537
4,3,1,0.498,0.485,0.491
4,4,1,0.586,0.52,0.549
4,5,1,0.586,0.528,0.555
4,6,1,0.526,0.491,0.508
4,7,1,0.557,0.507,0.531
4,8,1,0.587,0.524,0.552
4,9,1,0.536,0.501,0.518
5,10,1,0.608,0.54,0.571
5,1,1,0.531,0.501,0.514
5,2,1,0.577,0.526,0.548
5,3,1,0.524,0.484,0.503
5,4,1,0.573,0.518,0.542
5,5,1,0.528,0.496,0.513
